artifact_path,artifact_sha256,producing_commit_or_code_entrypoint,prediction_sha,gt_axis,gt_start_source,gt_end_source,use_kind,upstream_threshold_or_model_identity,source_song_split,action,category,scan_error,note
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_accompaniment_controls_20260804/analysis.json,61b60f03fb68c58df98b18f7f66184ef02177f06c8c0645b9f9bf073a0306c0c,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_accompaniment_controls_20260804/collection.json,a9f819904c84f18b33eb3e2455866aec4bb500f8a5a80f4e9ea8c9fd5e27b857,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_accompaniment_controls_20260804/pilot_freeze.json,e249e5c81e41f89d3bf6a1c47a8ac25eb2ba691b8f6fff2c0d08ff5b0d4f408a,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_all_partitioned_20260804/analysis.json,fca1d6faff528d4d3df93207555d3636d0c70316d79dcead8a70888d7ab67772,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_all_partitioned_20260804/collection.json,99ecb05a5f7242171cd1eb73cc6d7575f2fbf1c7b9f53069804a7ec2bd631696,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_all_partitioned_20260804/pilot_freeze.json,d818f7d6dcbc19029e0410744402de5bb7d06e49fc3adf1dee857f30eff6f6a0,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_c10_repeated_sections_20260804/analysis.json,1f498f4a0ff113ddc595dc2570b275c1457ba258ab0a6015eb9fb2ab93f0f883,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_c10_repeated_sections_20260804/collection.json,d7af62ea7e9c01f5b46f114f29c7d9885cb869df4a9a715cb21b35682e0e8b8e,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_c10_repeated_sections_20260804/pilot_freeze.json,4fd2905b14217c26edc65f14bf034479fa5fd2ee93cd1eef7bb5f56cf04a9153,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_dev_real_20260804/analysis.json,a26924969cea181d36b64ac8b13ec66425ddef46d318116c57aea9c507cccfd9,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_dev_real_20260804/collection.json,0e23d562bcdb1133b0be3dd8e92b3dc78c96b1a224d2a667ba356f921051ef7b,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_dev_real_20260804/pilot_freeze.json,88c1478781b74f3b661159269df8122e7a393d7339e5c194fd869f793d098d7f,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_low_vocal_energy_controls_20260804/analysis.json,faaf63333a1efe3b85c63f1b2c4ba35f1807f1fc24f4fd68f381698541143760,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_low_vocal_energy_controls_20260804/collection.json,3033a7bca60c33ecf4b1b2c1898044fd4dc60706ee61faa5c67651cdccff9505,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/demo_low_vocal_energy_controls_20260804/pilot_freeze.json,3e6b6642f156b3693f9a5bb7adaa89763e737f4459fafe129124203dcbd840e9,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/formal_manifest_m4_validation_pilot_20260803/pilot_freeze.json,b564ae5cee22ff53823cd08e10c14817bc38d0f76136aac5337e69a49576d530,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/formal_manifest_mir1k_dev_pilot_20260803/collection.json,1fa90910411e8521369db172038eca046853afb9ede49f6302576bfb02f6d284,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/formal_manifest_mir1k_dev_pilot_20260803/gt_paired.json,01e2d995da222a43b83ddaaffd620caaac0f504d0c122a74684bf2b48e52d440,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,metric,,unknown,REAGGREGATE,research_v7_long_slot_timing,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/formal_manifest_mir1k_dev_pilot_20260803/pilot_freeze.json,1bacaa462e227e84f29c7eaf9e7452ef496ac8012277bf1702cbe41ce855cde3,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/legacy_m4_60s_derived_pilot_20260803/analysis.json,a392b03a89537306067f19394e0110600d64f68adbf524b443da6e41effa4c0e,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
/home/hyan/Data/lyricalign/runs/research_v7_align_behavior/legacy_m4_60s_derived_pilot_20260803/collection.json,da5868c45034330f3ef750ced63563b0129d07f01968b6065159222cec68b061,unknown,,PROVENANCE_UNKNOWN,unknown,unknown,other,,unknown,KEEP structural only,research_v7_structural,,
